tier,strategyVersionId,displayLabelZh,timeframe,status,displayStatusZh,hardPass,tradeCount,profitFactor,averageNetR,lockedTradeCount,lockedProfitFactor,historicalMaximumDrawdownPct,monteCarloP95MaximumDrawdownPct,executionEligible
A,strategy_version_05c158de451321444bd1ef4485305b239a0d1bdb67b369f08f95a53295bd4d8e,1H 深弱势扫低收回，因子后继 ATR1.2,1h,locked_sample_unavailable,锁定样本不可用,False,2652,1.3477049261170764,0.20121204799333053,205,1.0033225604994844,8.5656847969,10.228014134761697,False
A,strategy_version_0dc7701b4b48a6d2d3eaf727bfec274b5ca93016a5ea9aa862ffcc7f3ebe9b1b,1D 广谱压缩释放 ATR2.0,1d,locked_sample_unavailable,锁定样本不可用,False,875,1.1845931809223094,0.10917678469714813,126,1.0882896953594492,3.8799327084,10.214679592179298,False
A,strategy_version_a80c785eebf379a311de35b1697e39956849177a157f2d789aaeed433f3a80e3,1D 趋势压缩释放 ATR2.0,1d,locked_sample_unavailable,锁定样本不可用,False,407,1.2571749312237714,0.1460211976656125,42,0.8796675660338649,3.0828368754,10.182271389764086,False
A,strategy_version_c0afa97d531616a24d020e2aad5acd5df1168b41e7acbccab330549821aaa7d8,1D 趋势突破回踩 ATR2.0,1d,locked_sample_unavailable,锁定样本不可用,False,1130,1.3359151071544888,0.18122035763616398,81,0.39007836842173543,3.9637874711,10.215086422962385,False
B,strategy_version_a2c0736f1f1de60ef2e571761970cbf64c35688ebc4631c55c2dc6570a557778,1H 突破回踩 BTC 顺势确认，因子后继 ATR1.2,1h,locked_sample_unavailable,锁定样本不可用,False,3432,1.0958588961838194,0.06307697707503922,284,0.7999553669895403,10.0569067294,10.245235749833707,False
C,strategy_version_5f27f24019c5fff46eaf083dc5a57c78029afb8f3c8fe3bab4f3dbe3093a8785,15m 假突破弱趋势反转，因子后继 ATR1.2,15m,prefilter_stopped,预筛选停止,False,,,,,,,,False
C,strategy_version_c308c66aeb070009e17ff1eaeb63177d4c17647c6679ca13d8dd49a011d84085,1D 超卖扫低收回 ATR1.2 影子,1d,prefilter_stopped,预筛选停止,False,,,,,,,,False
