policyId,policyHash,acceptedTrades,rejectedTrades,profitFactor,expectancyR,totalR,maxDrawdownR,positiveMonthRatio,stressPlus0_10RProfitFactor,qualificationPassed,developmentScore
raw_baseline,portfolio_rescue_policy_a525b0ea5810d144bf32fb3d13dbb84519d8cce50b23464d1a7b560d5f0e844d,462,0,1.5172,0.268829,124.199,15.7235,0.6164383561643836,1.2952,True,164.848909
pair_7d_cooldown,portfolio_rescue_policy_dda651f97adec6a8bacbf607dd8b6221b68d08ef1a0b3ebcb83a247f7e60e88d,419,43,1.5909,0.299447,125.4684,15.0674,0.6301369863013698,1.3576,True,174.748375
pair_14d_cooldown,portfolio_rescue_policy_7ac5bdcb1880061efdc7daae8dbd9945f0785618c05534f86dff1c3be66cc378,382,80,1.6046,0.304485,116.3131,12.9224,0.6027397260273972,1.3687,True,177.830343
pair_14d_max2,portfolio_rescue_policy_d811f46ad7e273582c8bd9785b917da07224fb5203d60132ff31c010d72f588f,284,178,1.4386,0.234643,66.6387,9.7147,0.6301369863013698,1.2289,True,161.630875
pair_14d_max2_direction1,portfolio_rescue_policy_634bce2627910ee89b43a31c05d143c248064830742fc1d701210f42b333eb9a,245,217,1.3301,0.184602,45.2274,10.2427,0.5616438356164384,1.1379,False,146.038496
pair_14d_max2_direction1_loss21d,portfolio_rescue_policy_a4e8ce0f501b15ce7b785509e3416e69984e09f8a12979795e64b8a2b227b69b,238,224,1.3688,0.202861,48.2809,10.2427,0.589041095890411,1.1705,False,151.506377
