classification,familyId,hypothesisId,nearestHistoricalFamily,noveltyGate,semanticTokenOverlap,thresholdOnlyVariant
materially_different_mechanism,trend_pullback_continuation,auto-hyp-01-trend_pullback_continuation,short_cycle_redesign_5m_trend_pullback_confirmation_long_v1,passed,0.222222,False
materially_different_mechanism,volatility_compression_release,auto-hyp-02-volatility_compression_release,short_cycle_redesign_5m_compression_release_long_v1,passed,0.25,False
materially_different_mechanism,btc_shock_lag,auto-hyp-03-btc_shock_lag,short_cycle_event_1h_breakout_retest_btc_factor_v2,passed,0.1,False
materially_different_mechanism,volatility_shock_asymmetry,auto-hyp-04-volatility_shock_asymmetry,,passed,0.0,False
materially_different_mechanism,cross_session_liquidity_transition,auto-hyp-05-cross_session_liquidity_transition,short_cycle_evidence_5m_liquidity_sweep_reclaim_long_v1,passed,0.090909,False
materially_different_mechanism,residual_extreme_causal_recovery,auto-hyp-06-residual_extreme_causal_recovery,event_4h_bull_recovery_atr15_h24_v1,passed,0.1,False
materially_different_mechanism,trend_failure_reversal,auto-hyp-07-trend_failure_reversal,short_cycle_event_1h_trend_reclaim_shadow_v2,passed,0.111111,False
materially_different_mechanism,breadth_correlation_directional_filter,auto-hyp-08-breadth_correlation_directional_filter,,passed,0.0,False
