candidateId,candidateHash,familyId,direction,timeframe,status,prefilterPassed,reasonCode,tradeCount,profitFactor,averageNetR,totalNetR,maximumDrawdownR,stress1_5xProfitFactor,benchmarkId,benchmarkTradeCount,benchmarkAverageNetR,lockedOosReadCount
v42_breakout_trap_second_entry_long_4h_v1,candidate_definition_ad8b6b88ed060f9819f60143cca65c61b4d3652f4c3b922076f1ca47b9cac9e4,v42_breakout_trap_second_entry,long,4h,prefilter_failed,False,developmentProfitFactor;developmentAverageNetR;positiveDevelopmentMonthRatio;stress1_5xPositive,2775,0.9694144655154139,-0.014335799934034369,-39.78184481694537,75.39994429367002,0.9229419751190415,first_breakout_failure_immediate_fade,7990,-0.09767447131307329,0
v42_breakout_trap_second_entry_short_4h_v1,candidate_definition_09f976ef4be972cc25293a19524010eda145122d53e562d3962a92c179b4cb55,v42_breakout_trap_second_entry,short,4h,prefilter_failed,False,developmentProfitFactor;developmentAverageNetR;positiveDevelopmentMonthRatio;stress1_5xPositive,2666,0.8532024592236395,-0.07541773779604377,-201.0636889642527,210.574996398779,0.8113976386506342,first_breakout_failure_immediate_fade,8900,-0.10575837610019455,0
v42_spike_pullback_continuation_long_1h_v1,candidate_definition_b71430e2e5ca7e4afdaf7285cf15ce2f9177e79335bc17d5d4da2a17fcaa291b,v42_spike_pullback_continuation,long,1h,prefilter_failed,False,developmentProfitFactor;developmentAverageNetR;positiveDevelopmentMonthRatio;stress1_5xPositive;mechanismIncrementAverageNetR,966,0.6812036035471263,-0.19187502108200774,-185.35127036521948,191.12245707155245,0.5851682434114334,unconditional_three_bar_momentum_continuation,13297,-0.078280511460297,0
v42_spike_pullback_continuation_short_1h_v1,candidate_definition_49fe2b0469b46cecce45bc9f0bf460eedd0ffee5e21162e8c1f42e28afa8f481,v42_spike_pullback_continuation,short,1h,prefilter_failed,False,positiveDevelopmentMonthRatio,765,1.2128347868718607,0.10848993551582303,82.99480066960461,47.96849901883044,1.0554387704401949,unconditional_three_bar_momentum_continuation,13042,-0.06493608255923304,0
