candidateId,familyId,passed,averageMaeR,averageMfeR,averageNetR,benchmarkIncrementNetR,benchmarkTotalNetR,eventCount,exitReasons,folds,maximumDrawdownPct,maximumDrawdownR,observedMonthCount,positiveFoldCount,positiveMonthRatio,profitFactor,singleInstrumentPositiveContribution,singleMonthPositiveContribution,stressAverageNetR,stressProfitFactor,stressTotalNetR,totalNetR
v27-range_expansion_close_followthrough-4h-long-v1,range_expansion_close_followthrough,false,-1.0039863922546446,1.1442507653289828,0.02057377703882046,-809.7770454507423,874.6873120082208,3155,"{'advisory_r_target': 1259, 'initial_stop': 1731, 'maximum_hold': 165}",{},57.39163996307079,57.39163996307079,33,0,0.5757575757575758,1.0356412767851284,0.14813920955945628,0.05814942664270752,0.0011036648942332262,1.001875914986592,3.4820627413058287,64.91026655747855
v27-range_expansion_close_followthrough-4h-short-v2,range_expansion_close_followthrough,false,,,,,,,,,,,,,,,,,,,,
v27-liquidity_gap_reentry-1h-long-v1,liquidity_gap_reentry,false,,,,,,,,,,,,,,,,,,,,
v27-liquidity_gap_reentry-1h-short-v2,liquidity_gap_reentry,false,,,,,,,,,,,,,,,,,,,,
v27-cross_section_dispersion_leader_followthrough-4h-long-v1,cross_section_dispersion_leader_followthrough,false,,,,,,,,,,,,,,,,,,,,
v27-cross_section_dispersion_leader_followthrough-4h-short-v2,cross_section_dispersion_leader_followthrough,false,,,,,,,,,,,,,,,,,,,,
v27-opening_range_failure_reversal-1h-long-v1,opening_range_failure_reversal,false,-1.0878784406125581,1.0849215406099473,-0.10052878476793602,-566.5883770877946,-638.7517522797583,11990,"{'advisory_r_target': 4568, 'initial_stop': 7165, 'maximum_hold': 257}",{},1210.3035273669743,1210.3035273669743,33,0,0.36363636363636365,0.8449157009339068,0.13539487218865753,0.03874051267445643,-0.14101456927806666,0.7904543559693067,-1690.7646856440192,-1205.340129367553
v27-opening_range_failure_reversal-1h-short-v2,opening_range_failure_reversal,false,-1.0525864750822107,1.1332450653460817,-0.06941348666989418,1975.7700591299354,-2909.242627866672,13448,"{'advisory_r_target': 5373, 'initial_stop': 7906, 'maximum_hold': 169}",{},982.1757121035288,982.1757121035288,33,0,0.2727272727272727,0.8912863873998372,0.1429761750002496,0.039552338508721065,-0.11148557355871776,0.8318931939519392,-1499.2579932176363,-933.4725687367369
